ID;Fornecedor;Série;Número;Parc.;Vencimento;CCL;ObservaçãoOriginal;PLACA TRATATIVA;OPERAÇÃO;TIPO DO VEÍCULO;OBSERVAÇÃO DEFINITIVA;DATA DEFINITIVA MULTA;DATA CRIPTOGRAFADA;Vlr. Total;Vlr. Baixa;Vlr. Saldo;Mês / Ano Venc.
385589;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;R;907067557;01/01/2025;09/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;GFM9E15-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA-05/02/2025 06:03;GFM9E15;CONCEN LACTEOS 20.161.429/0001-78;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;05/02/2025;45693;78,1;78,1;0;01/07/2025
385837;SSP DEPARTAMENTO ESTADUAL DE TRANSITO DE MS;1RE;904228;01/01/2025;11/07/2025;MULTAS DE TRÂNSITO;TAI2H64-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS-29/01/2025 19:47;TAI2H64;JBS S.A. - NOVA ANDRADINA 02.916.265/0202-76;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS;29/01/2025;45686;199,32;199,32;0;01/07/2025
385912;MUNICIPIO DE BRAGANCA PAULISTA;R;5273791;01/01/2025;11/07/2025;MULTAS DE TRÂNSITO;TAP0H54-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO- 09/01/2025 12:34;TAP0H54;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;09/01/2025;45666;131,46;131,46;0;01/07/2025
386218;MUNICIPIO DE BRAGANCA PAULISTA;R;5559441;01/01/2025;14/07/2025;MULTAS DE TRÂNSITO;TAS4F63-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO-06/02/2025 15:02;TAS4F63;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;06/02/2025;45694;131,46;131,46;0;01/07/2025
386310;DEPARTAMENTO DE POLICIA FEDERAL - SUPERINTENDENCIA REGIONAL DO MS.;WF;78600;01/01/2025;14/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;SEY7I43-DEIXAR O CONDUTOR DE USAR O CINTO SEGURANCA -04/06/2025 15:17;SEY7I43;JBS S.A. - NOVA ANDRADINA 02.916.265/0202-76;;DEIXAR O CONDUTOR DE USAR O CINTO SEGURANCA;04/06/2025;45812;117,13;117,13;0;01/07/2025
386322;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;AI;7173313;01/01/2025;15/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;ATM0372-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA-28/05/2025 13:22;ATM0372;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;28/05/2025;45805;78,1;78,1;0;01/07/2025
386904;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;S;45344854;01/01/2025;16/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FJI2I15-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA-21/05/2025 17:18;FJI2I15;C.VALE - COOPERATIVA AGROINDUSTRIAL 77.863.223/0043-66;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;21/05/2025;45798;78,1;78,1;0;01/07/2025
386914;MUNICIPIO DE SOROCABA;C;2649388;01/01/2025;16/07/2025;MULTAS DE TRÂNSITO;SFK5C35-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO-30/01/2025 14:32;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;TRANSITAR EM LOC;30/01/2025;45687;132,89;132,89;0;01/07/2025
386943;MUNICIPIO DE GUARULHOS;J;430283768;01/01/2025;16/07/2025;MULTAS DE TRÂNSITO;SFK5C35-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-29/01/2025 04:32;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;29/01/2025;45686;268,75;268,75;0;01/07/2025
387530;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1V;1962287;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;TBC1E06-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA-19/04/2025 07:00;TBC1E06;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;19/04/2025;45766;78,1;78,1;0;01/07/2025
